Data as of,Start Date,End Date,State,County of Residence,Fips Code,COVID-19 Deaths,Total Deaths,Footnote
03/12/2021,01/01/2020,12/31/2020,AL,Autauga County,1001,58,650,
03/12/2021,01/01/2020,12/31/2020,AL,Baldwin County,1003,178,2685,
03/12/2021,01/01/2020,12/31/2020,AL,Barbour County,1005,41,376,
03/12/2021,01/01/2020,12/31/2020,AL,Bibb County,1007,47,295,
03/12/2021,01/01/2020,12/31/2020,AL,Blount County,1009,97,847,
03/12/2021,01/01/2020,12/31/2020,AL,Bullock County,1011,21,147,
03/12/2021,01/01/2020,12/31/2020,AL,Butler County,1013,55,312,
03/12/2021,01/01/2020,12/31/2020,AL,Calhoun County,1015,189,1779,
03/12/2021,01/01/2020,12/31/2020,AL,Chambers County,1017,81,595,
03/12/2021,01/01/2020,12/31/2020,AL,Cherokee County,1019,40,458,
03/12/2021,01/01/2020,12/31/2020,AL,Chilton County,1021,76,628,
03/12/2021,01/01/2020,12/31/2020,AL,Choctaw County,1023,33,188,
03/12/2021,01/01/2020,12/31/2020,AL,Clarke County,1025,43,431,
03/12/2021,01/01/2020,12/31/2020,AL,Clay County,1027,42,248,
03/12/2021,01/01/2020,12/31/2020,AL,Cleburne County,1029,28,234,
03/12/2021,01/01/2020,12/31/2020,AL,Coffee County,1031,76,707,
03/12/2021,01/01/2020,12/31/2020,AL,Colbert County,1033,88,814,
03/12/2021,01/01/2020,12/31/2020,AL,Conecuh County,1035,28,217,
03/12/2021,01/01/2020,12/31/2020,AL,Coosa County,1037,22,175,
03/12/2021,01/01/2020,12/31/2020,AL,Covington County,1039,94,679,
03/12/2021,01/01/2020,12/31/2020,AL,Crenshaw County,1041,29,249,
03/12/2021,01/01/2020,12/31/2020,AL,Cullman County,1043,128,1259,
03/12/2021,01/01/2020,12/31/2020,AL,Dale County,1045,87,634,
03/12/2021,01/01/2020,12/31/2020,AL,Dallas County,1047,101,632,
03/12/2021,01/01/2020,12/31/2020,AL,DeKalb County,1049,128,1021,
03/12/2021,01/01/2020,12/31/2020,AL,Elmore County,1051,101,1010,
03/12/2021,01/01/2020,12/31/2020,AL,Escambia County,1053,64,599,
03/12/2021,01/01/2020,12/31/2020,AL,Etowah County,1055,224,1682,
